id,login,password_hash,first_name,last_name,email,activated,lang_key,created_by
1,system,$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG,System,System,system@localhost,true,en,system
2,anonymousUser,$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO,Anonymous,User,anonymous@localhost,true,en,system
3,admin,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Administrator,Administrator,admin@localhost,true,en,system
4,user,$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K,User,User,user@localhost,true,en,system
5,nperson1,$2a$10$Zkx/OO6u/L076biPkBtf3eXUftqKLXOE6O6xRJu2oQb6bjNE1w0u.,Natural1,Person1,nperson1@localhost,true,es,user
6,nperson2,$2a$10$mpKmiDB1eeoRXcMZXnAsxepNYvZmHI6HBRpIChq9ji0S4zQO7UViu,Natural2,Person2,npserson2@localhsot,true,es,user
7,nperson3,$2a$10$hyYiwpvWoATbZ02e2hzlquYd5LZJkSfanBprRmjtgdubtasWt.326,Natural3,Person3,nperson3@localhost,true,es,user
8,nperson4,$2a$10$btVwdZIQ9chgd9BOrKXtCeJPRQi3nQ7LlrxXQgWr9FdZFr2crOahK,Natural4,Person4,nperson4@localhsot,true,es,user
14,lentity1,$2a$10$DRHHuWgO8jJ9Zo8Xm8j.DOHA.gMENeaek/99HU3mmCeifuDmtKUVS,Legal1,Entity1,lentity1@localhost,true,es,user
15,lentity2,$2a$10$5pJFTWGzVomnbXuM1UBupuH.Cm0juscHomYPyyFSmbJXOzfIlUggK,Legal2,Entity2,lentity2@localhsot,true,es,user
16,lentity3,$2a$10$Wn0gYtLnXM7m2PsWy83w5.KvoOKx.NdVz9.adnejX14Yus47MevEO,Legal3,Entity3,lentity3@localhost,true,es,user
17,lentity4,$2a$10$ECNlJeZD6Yroe.9F1D5HwOpsJQDjEQrA2k0RIb/XdYR5y4ezZv3VC,Legal4,Entity4,lentity4@localhost,true,es,user
29,adminisrator1,$2a$10$7tsZFwMTDEbHPbW5vsZqSet/A/F7VBEJ5KRIks9q9i01o5rEALk0W,Admi1,Nistrator1,administrator1@localhost,true,es,user
30,administrator2,$2a$10$1lQa9iiZ3KF6zB2nOjYCfuBbYXD.VGRZ84.MqM3y.7YXovho16u/.,Admi2,Nistrator2,administrator2@localhost,true,es,user
31,administrator3,$2a$10$bSoGfM50wboQCcnR/uTOU..qQC0tc0TK0WU8w0kSAG1.1GxSR9g1.,Admi3,Nistrator3,administrator3@localhost,true,es,user
